symbol,phase
MCM5,S
PCNA,S
TYMS,S
FEN1,S
MCM2,S
MCM4,S
RRM1,S
UNG,S
GINS2,S
MCM6,S
CDCA7,S
DTL,S
PRIM1,S
UHRF1,S
CENPU,S
HELLS,S
RFC2,S
RPA2,S
NASP,S
RAD51AP1,S
GMNN,S
WDR76,S
SLBP,S
CCNE2,S
UBR7,S
POLD3,S
MSH2,S
ATAD2,S
RAD51,S
RRM2,S
CDC45,S
CDC6,S
EXO1,S
TIPIN,S
DSCC1,S
BLM,S
CASP8AP2,S
USP1,S
CLSPN,S
POLA1,S
CHAF1B,S
BRIP1,S
E2F8,S
HMGB2,G2/M
CDK1,G2/M
NUSAP1,G2/M
UBE2C,G2/M
BIRC5,G2/M
TPX2,G2/M
TOP2A,G2/M
NDC80,G2/M
CKS2,G2/M
NUF2,G2/M
CKS1B,G2/M
MKI67,G2/M
TMPO,G2/M
CENPF,G2/M
TACC3,G2/M
PIMREG,G2/M
SMC4,G2/M
CCNB2,G2/M
CKAP2L,G2/M
CKAP2,G2/M
AURKB,G2/M
BUB1,G2/M
KIF11,G2/M
ANP32E,G2/M
TUBB4B,G2/M
GTSE1,G2/M
KIF20B,G2/M
HJURP,G2/M
CDCA3,G2/M
JPT1,G2/M
CDC20,G2/M
TTK,G2/M
CDC25C,G2/M
KIF2C,G2/M
RANGAP1,G2/M
NCAPD2,G2/M
DLGAP5,G2/M
CDCA2,G2/M
CDCA8,G2/M
ECT2,G2/M
KIF23,G2/M
HMMR,G2/M
AURKA,G2/M
PSRC1,G2/M
ANLN,G2/M
LBR,G2/M
CKAP5,G2/M
CENPE,G2/M
CTCF,G2/M
NEK2,G2/M
G2E3,G2/M
GAS2L3,G2/M
CBX5,G2/M
CENPA,G2/M
